DISTANCE,CHANNEL,RSSI,PHASE
50.0,926.25,-48.0,-2.258358891399156
50.0,926.75,-48.5,-2.4046035321417003
50.0,927.25,-48.0,-2.5734493370555054
60.0,902.75,-49.5,0.8897705245430342
60.0,903.25,-50.0,0.7599602910355256
60.0,903.75,-49.5,0.5953695484077155
60.0,904.25,-49.5,0.4559700078643791
60.0,904.75,-49.5,0.31737214572275185
60.0,905.25,-49.5,0.16360406151801432
60.0,905.75,-50.0,0.0
60.0,906.25,-50.0,-0.13912203648120602
60.0,906.75,-50.0,-0.2945551450587258
60.0,907.25,-49.5,-0.4268937489100857
60.0,907.75,-49.997487437185924,-0.5668174637930008
60.0,908.25,-50.0,-0.7003277514622424
60.0,908.75,-50.0,-0.8362430743366129
60.0,909.25,-50.0,-0.9898569896179444
60.0,909.75,-50.0,-1.1210239096514227
60.0,910.25,-50.0,-1.2468874187197478
60.0,910.75,-50.0,-1.3962771054997658
60.0,911.25,-50.5,-1.537804177186099
60.0,911.75,-50.5,-1.6685394242340417
60.0,912.25,-50.0,-1.8121015257093287
60.0,912.75,-50.0,-1.9688604870281357
60.0,913.25,-50.0,-2.092288127106653
60.0,913.75,-50.5,-2.2406294652075127
60.0,914.25,-50.5,-2.379196493564459
60.0,914.75,-50.5,-2.5493064836501893
60.0,915.25,-50.5,-2.699991189386815
60.0,915.75,-50.5,-2.842535775967625
60.0,916.25,-50.5,-2.985573703103334
60.0,916.75,-51.0,-3.1353950628688882
60.0,917.25,-50.50502512562814,-3.280868858994405
60.0,917.75,-50.5,-3.428069347062064
60.0,918.25,-50.5,-3.5431718652766797
60.0,918.75,-50.5,-3.6837430896378978
60.0,919.25,-50.5,-3.8233584666740015
60.0,919.75,-51.0,-3.94046518089289
60.0,920.25,-50.5,-4.1149227346186565
60.0,920.75,-50.5,-4.2453496438197895
60.0,921.25,-50.5,-4.373587354308561
60.0,921.75,-50.5,-4.496953326817716
60.0,922.25,-50.5,-4.64288962971345
60.0,922.75,-51.0,-4.7810249850848585
60.0,923.25,-50.5,-4.9165086349736935
60.0,923.75,-50.5,-5.044684677893104
60.0,924.25,-50.5,-5.191638495683313
60.0,924.75,-50.5,-5.340904847324606
60.0,925.25,-51.0,-5.478701031064526
60.0,925.75,-50.5,-5.640300896578268
60.0,926.25,-50.5,-5.78731638193784
60.0,926.75,-50.00502512562814,-5.94805290148051
60.0,927.25,-50.5,-6.0999401248197005
70.0,902.75,-52.00502512562814,-3.488935238022592
70.0,903.25,-52.0,-3.64328916413627
70.0,903.75,-52.5,-3.775196095002096
70.0,904.25,-53.0,-3.9057155055572697
70.0,904.75,-53.0,-4.058836080283704
70.0,905.25,-52.5,-4.1992839695061965
70.0,905.75,-52.5,-4.313584809319105
70.0,906.25,-52.5,-4.44829761459091
70.0,906.75,-53.0,-4.574099456089874
70.0,907.25,-53.00753768844221,-4.72370497936266
70.0,907.75,-53.0,-4.831900729808705
70.0,908.25,-52.997487437185924,-5.011630860714943
70.0,908.75,-52.5,-5.1193024368214095
70.0,909.25,-52.997487437185924,-5.2649920694396934
70.0,909.75,-53.0,-5.405840797863044
70.0,910.25,-53.497487437185924,-5.560503061823534
70.0,910.75,-53.0,-5.722688769246216
70.0,911.25,-53.0,-5.869519251897701
70.0,911.75,-53.0,-6.007192100498894
70.0,912.25,-53.0,-6.1554409372457135
70.0,912.75,-53.5,-6.320833358275231
70.0,913.25,-53.00502512562814,-6.448947733625278
70.0,913.75,-53.0,-6.59648739332443
70.0,914.25,-53.0,-6.738970312335877
70.0,914.75,-53.0,-6.867516360671459
70.0,915.25,-53.5,-7.006607563367986
70.0,915.75,-53.00502512562814,-7.146870449882394
70.0,916.25,-53.0,-7.300669367871814
70.0,916.75,-53.0,-7.459247522486804
70.0,917.25,-53.0,-7.573579196084392
70.0,917.75,-53.002512562814076,-7.730769830388733
70.0,918.25,-53.5,-7.8782169887338425
70.0,918.75,-53.497487437185924,-8.034420941928389
70.0,919.25,-53.0,-8.178507217743256
70.0,919.75,-53.0,-8.311462497288236
70.0,920.25,-53.5,-8.440162714547224
70.0,920.75,-53.5,-8.586715693136581
70.0,921.25,-53.5,-8.738510415121727
70.0,921.75,-53.5,-8.904457844275505
70.0,922.25,-53.497487437185924,-9.05316918779254
