DISTANCE,CHANNEL,RSSI,PHASE
5.0,915.75,-28.0,-4.075208819949378
5.0,916.25,-27.99748743718593,-4.179827851372413
5.0,916.75,-27.530150753768844,-4.3074488861675615
5.0,917.25,-27.5,-4.413640440609333
5.0,917.75,-28.0,-4.540583132141498
5.0,918.25,-28.0,-4.655346478724621
5.0,918.75,-28.0,-4.757252137095717
5.0,919.25,-28.0,-4.898131699303747
5.0,919.75,-27.55527638190955,-5.026600663177627
5.0,920.25,-27.5,-5.1607122096481515
5.0,920.75,-28.0,-5.283985680803263
5.0,921.25,-28.0,-5.40633413841794
5.0,921.75,-28.49748743718593,-5.528620928463257
5.0,922.25,-28.0,-5.663148731026976
5.0,922.75,-27.99748743718593,-5.795795672725148
5.0,923.25,-27.50502512562814,-5.923447541304978
5.0,923.75,-28.0,-6.062230406154692
5.0,924.25,-28.0,-6.195463189761805
5.0,924.75,-28.5,-6.308715680895554
5.0,925.25,-28.0,-6.473275589738681
5.0,925.75,-27.5,-6.619427729127182
5.0,926.25,-27.5,-6.760368958904575
5.0,926.75,-27.5,-6.890672532966981
5.0,927.25,-28.0,-7.03044207892649
8.0,902.75,-29.0,-1.8240650341656028
8.0,903.25,-28.99748743718593,-1.935868337419338
8.0,903.75,-29.0,-2.058031792325929
8.0,904.25,-29.0,-2.1678308995753923
8.0,904.75,-29.5,-2.3073537752574533
8.0,905.25,-29.5,-2.4421282480986224
8.0,905.75,-29.5,-2.588527057764572
8.0,906.25,-29.5,-2.6872568363135136
8.0,906.75,-29.5,-2.83550567306033
8.0,907.25,-29.5,-2.9658092471227375
8.0,907.75,-30.0,-3.0718157988564228
8.0,908.25,-30.0,-3.2105061623520927
8.0,908.75,-29.50251256281407,-3.368097635857289
8.0,909.25,-29.5,-3.4832309878565857
8.0,909.75,-29.5,-3.6110061915751395
8.0,910.25,-29.5,-3.6904956884830633
8.0,910.75,-29.99748743718593,-3.843061255085237
8.0,911.25,-30.0,-3.9194057059556857
8.0,911.75,-30.0,-4.038239112116717
8.0,912.25,-29.5,-4.191051348996339
8.0,912.75,-29.5,-4.296317889897678
8.0,913.25,-29.5,-4.383053326205664
8.0,913.75,-29.5,-4.523871220844332
8.0,914.25,-30.0,-4.633886164586562
8.0,914.75,-30.0,-4.766625607638777
8.0,915.25,-30.0,-4.841551704413895
8.0,915.75,-29.51005025125628,-4.9830787761002275
8.0,916.25,-29.5,-5.104810558021284
8.0,916.75,-29.5,-5.209367921874956
8.0,917.25,-29.98994974874372,-5.320862887281881
8.0,917.75,-30.0,-5.445708881455729
8.0,918.25,-30.01005025125628,-5.559423879359693
8.0,918.75,-30.0,-5.695863376573643
8.0,919.25,-29.53517587939698,-5.822281893766228
8.0,919.75,-30.0,-5.945647866275383
8.0,920.25,-29.51005025125628,-6.071110536142854
8.0,920.75,-30.0,-6.197251549273309
8.0,921.25,-30.49497487437186,-6.312138230995158
8.0,921.75,-30.0,-6.455453662192994
8.0,922.25,-29.5,-6.584246380806027
8.0,922.75,-29.5,-6.71202158452458
8.0,923.25,-29.5,-6.835572559741823
8.0,923.75,-29.5,-6.9507984130951606
8.0,924.25,-30.0,-7.068521803007673
8.0,924.75,-29.5,-7.208753855737399
8.0,925.25,-29.0,-7.3240413766601
8.0,925.75,-29.0,-7.455115795339535
8.0,926.25,-29.0,-7.553814740103795
8.0,926.75,-29.0,-7.6680230785626575
8.0,927.25,-29.5,-7.805017583900866
11.0,902.75,-31.5,-2.6585814165600734
11.0,903.25,-31.5,-2.781392380944968
