CHANNEL,EPC,PHASE,RSSI,,,,,,,
914.25,3039 6062 C3AD 3FC0 001F 4997,0.171805848,-58.5,,,914.25,,,0.134990309,
914.25,3039 6062 C3AD 3FC0 001F 4997,0.104310694,-59,,,914.25,,,0.147262156,
911.25,3039 6062 C3AD 3FC0 001F 4997,1.546252634,-60,,,914.25,,,0.171805848,
911.25,3039 6062 C3AD 3FC0 001F 4997,1.632155558,-59.5,,,914.25,,,0.104310694,
911.25,3039 6062 C3AD 3FC0 001F 4997,1.533980788,-60,,,911.25,,,1.546252634,
911.25,3039 6062 C3AD 3FC0 001F 4997,1.484893403,-60,,,911.25,,,1.632155558,
911.75,3039 6062 C3AD 3FC0 001F 4997,1.294679785,-59.5,,,911.25,,,1.533980788,
911.75,3039 6062 C3AD 3FC0 001F 4997,1.288543862,-59.5,,,911.25,,,1.484893403,
911.75,3039 6062 C3AD 3FC0 001F 4997,1.319223478,-59,,,911.75,,,1.294679785,
911.75,3039 6062 C3AD 3FC0 001F 4997,1.36217494,-59,,,911.75,,,1.288543862,
905.25,3039 6062 C3AD 3FC0 001F 4997,4.203107359,-61.5,,,911.75,,,1.319223478,
905.25,3039 6062 C3AD 3FC0 001F 4997,4.129476281,-61.5,,,911.75,,,1.36217494,
905.25,3039 6062 C3AD 3FC0 001F 4997,4.135612204,-61.5,,,905.25,,,4.203107359,
905.25,3039 6062 C3AD 3FC0 001F 4997,4.233786975,-60,,,905.25,,,4.129476281,
916.25,3035 15B8 9802 DE90 4000 11E7,0.181009733,-63,,,905.25,,,4.135612204,
916.25,3035 15B8 9802 DE90 4000 11E7,3.123184884,-63,,,905.25,,,4.233786975,
916.25,3035 15B8 9802 DE90 4000 11E7,3.233631501,-62.5,,,916.25,,,,0.181009733
916.25,3035 15B8 9802 DE90 4000 11E7,3.074097499,-62,,,916.25,,,,3.123184884
924.25,3035 15B8 9802 DE90 4000 11E7,5.675728915,-63.5,,,916.25,,,,3.233631501
924.25,3035 15B8 9802 DE90 4000 11E7,5.589825991,-64.5,,,916.25,,,,3.074097499
924.25,3035 15B8 9802 DE90 4000 11E7,5.681864838,-63.5,,,924.25,,,,5.675728915
924.25,3035 15B8 9802 DE90 4000 11E7,5.602097837,-63.5,,,924.25,,,,5.589825991
912.25,3035 15B8 9802 DE90 4000 11E7,4.865787059,-64.5,,,924.25,,,,5.681864838
912.25,3035 15B8 9802 DE90 4000 11E7,4.988505522,-64.5,,,924.25,,,,5.602097837
912.25,3035 15B8 9802 DE90 4000 11E7,4.951689983,-64.5,,,912.25,,,,4.865787059
912.25,3035 15B8 9802 DE90 4000 11E7,5.074408446,-64,,,912.25,,,,4.988505522
912.25,3035 15B8 9802 DE90 4000 11E7,5.000777369,-64,,,912.25,,,,4.951689983
915.25,3035 15B8 9802 DE90 4000 11E7,3.71836943,-62.5,,,912.25,,,,5.074408446
915.25,3035 15B8 9802 DE90 4000 11E7,3.706097584,-62,,,912.25,,,,5.000777369
915.25,3035 15B8 9802 DE90 4000 11E7,3.687689814,-62.5,,,915.25,,,,3.71836943
915.25,3035 15B8 9802 DE90 4000 11E7,3.564971351,-62.5,,,915.25,,,,3.706097584
915.25,3035 15B8 9802 DE90 4000 11E7,3.644738352,-62.5,,,915.25,,,,3.687689814
923.75,3035 15B8 9802 DE90 4000 11E7,5.878214379,-62,,,915.25,,,,3.564971351
923.75,3035 15B8 9802 DE90 4000 11E7,5.638913376,-62.5,,,915.25,,,,3.644738352
923.75,3035 15B8 9802 DE90 4000 11E7,5.773903686,-62,,,923.75,,,,5.878214379
923.75,3035 15B8 9802 DE90 4000 11E7,5.872078456,-62.5,,,923.75,,,,5.638913376
923.75,3035 15B8 9802 DE90 4000 11E7,5.822991071,-62,,,923.75,,,,5.773903686
923.75,3035 15B8 9802 DE90 4000 11E7,5.896622149,-62,,,923.75,,,,5.872078456
923.25,3035 15B8 9802 DE90 4000 11E7,6.043884304,-62,,,923.75,,,,5.822991071
923.25,3035 15B8 9802 DE90 4000 11E7,6.080699843,-62,,,923.75,,,,5.896622149
923.25,3035 15B8 9802 DE90 4000 11E7,5.896622149,-62.5,,,923.25,,,,6.043884304
923.25,3035 15B8 9802 DE90 4000 11E7,6.129787228,-62.5,,,923.25,,,,6.080699843
910.75,3035 15B8 9802 DE90 4000 11E7,5.595961914,-66.5,,,923.25,,,,5.896622149
910.75,3035 15B8 9802 DE90 4000 11E7,5.645049299,-66.5,,,923.25,,,,6.129787228
913.75,3035 15B8 9802 DE90 4000 11E7,4.417864669,-63,,,910.75,,,,5.595961914
913.75,3035 15B8 9802 DE90 4000 11E7,4.387185053,-62.5,,,910.75,,,,5.645049299
913.75,3035 15B8 9802 DE90 4000 11E7,4.344233591,-62.5,,,913.75,,,,4.417864669
913.75,3035 15B8 9802 DE90 4000 11E7,4.135612204,-62.5,,,913.75,,,,4.387185053
913.75,3035 15B8 9802 DE90 4000 11E7,4.387185053,-63.5,,,913.75,,,,4.344233591
913.25,3035 15B8 9802 DE90 4000 11E7,4.620350133,-63.5,,,913.75,,,,4.135612204
913.25,3035 15B8 9802 DE90 4000 11E7,4.350369514,-64,,,913.75,,,,4.387185053
913.25,3035 15B8 9802 DE90 4000 11E7,4.509903516,-63.5,,,913.25,,,,4.620350133
913.25,3035 15B8 9802 DE90 4000 11E7,4.583534594,-63,,,913.25,,,,4.350369514
914.25,3035 15B8 9802 DE90 4000 11E7,4.154019974,-63.5,,,913.25,,,,4.509903516
914.25,3035 15B8 9802 DE90 4000 11E7,4.025165587,-63,,,913.25,,,,4.583534594
914.25,3035 15B8 9802 DE90 4000 11E7,4.092660742,-62.5,,,914.25,,,,4.154019974
914.25,3035 15B8 9802 DE90 4000 11E7,4.344233591,-62.5,,,914.25,,,,4.025165587
914.25,3035 15B8 9802 DE90 4000 11E7,4.092660742,-62.5,,,914.25,,,,4.092660742
911.25,3035 15B8 9802 DE90 4000 11E7,5.418020143,-66,,,914.25,,,,4.344233591
911.75,3035 15B8 9802 DE90 4000 11E7,5.098952139,-64.5,,,914.25,,,,4.092660742
911.75,3035 15B8 9802 DE90 4000 11E7,5.16031137,-64.5,,,911.25,,,,5.418020143
911.75,3035 15B8 9802 DE90 4000 11E7,5.215534679,-64.5,,,911.75,,,,5.098952139
911.75,3035 15B8 9802 DE90 4000 11E7,5.27689391,-64.5,,,911.75,,,,5.16031137
911.75,3035 15B8 9802 DE90 4000 11E7,5.270757987,-64,,,911.75,,,,5.215534679
,,,,,,911.75,,,,5.27689391
,,,,,,911.75,,,,5.270757987
